"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.450186786278688,0.193953847815902,2.32110263007516,0.0488352969206346
"x",-0.389141265068874,0.142133850946259,-2.7378507123965,0.0255339356103587
